* T-Spice 6.02 Simulation	Thu Dec 30 17:14:08 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
  4.07378e-004  3.6894e+000  6.7504e-003
  4.08379e-004  4.1896e+000  1.4091e-005
  4.09529e-004  4.7646e+000  8.1630e-006
  4.09999e-004  5.0000e+000  7.8901e-006
  4.10507e-004  5.0000e+000  4.7795e-010
  4.11056e-004  5.0000e+000 -1.1850e-010
   4.2105e-004  5.0000e+000 -1.0995e-008
   4.3105e-004  5.0000e+000 -2.1871e-008
   4.4105e-004  5.0000e+000 -3.2748e-008
   4.5105e-004  5.0000e+000 -4.3624e-008
   4.6105e-004  5.0000e+000 -5.4501e-008
   4.7105e-004  5.0000e+000 -6.5377e-008
   4.8105e-004  5.0000e+000 -7.6254e-008
   4.9105e-004  5.0000e+000 -8.7130e-008
   5.0105e-004  5.0000e+000 -9.8007e-008
   5.0999e-004  5.0000e+000 -1.0773e-007
 5.102050e-004  4.8975e+000 -7.8273e-006
  5.10777e-004  4.6113e+000 -8.3204e-006
  5.13121e-004  3.4393e+000  2.0930e-002
  5.14901e-004  2.5492e+000  1.9897e-001
  5.15659e-004  2.1704e+000  5.0622e-001
 5.158178e-004  2.0911e+000  7.5310e-001
 5.1586022e-004  2.0699e+000  1.0499e+000
 5.1589908e-004  2.0505e+000  1.4732e+000
 5.159521e-004  2.0239e+000  2.1046e+000
 5.1599093e-004  2.0045e+000  2.5923e+000
 5.1602832e-004  1.9858e+000  3.0829e+000
 5.1607665e-004  1.9617e+000  3.5914e+000
 5.1612326e-004  1.9384e+000  3.7938e+000
 5.1616246e-004  1.9188e+000  3.9058e+000
 5.1619761e-004  1.9012e+000  3.9883e+000
 5.162909e-004  1.8545e+000  4.1482e+000
 5.165310e-004  1.7345e+000  4.4269e+000
 5.167488e-004  1.6256e+000  4.5948e+000
 5.170617e-004  1.4691e+000  4.7604e+000
 5.175675e-004  1.2162e+000  4.9188e+000
  5.18127e-004  9.3601e-001  4.9906e+000
  5.18682e-004  6.5859e-001  4.9999e+000
  5.19243e-004  3.7838e-001  5.0000e+000
  5.19952e-004  2.3851e-002  5.0000e+000
 5.2000000e-004  0.0000e+000  5.0000e+000
 5.205043e-004  0.0000e+000  5.0000e+000
  5.21049e-004  0.0000e+000  5.0000e+000
   5.3104e-004  0.0000e+000  5.0000e+000
   5.4104e-004  0.0000e+000  5.0000e+000
   5.5006e-004  0.0000e+000  5.0000e+000
   5.5870e-004  0.0000e+000  5.0000e+000
   5.6870e-004  0.0000e+000  5.0000e+000
   5.7870e-004  0.0000e+000  5.0000e+000
   5.8870e-004  0.0000e+000  5.0000e+000
   5.9870e-004  0.0000e+000  5.0000e+000
  6.00000e-004  0.0000e+000  5.0000e+000

* Parsing                      0.01 seconds
* Setup                        0.00 seconds
* DC operating point           0.01 seconds
* Transient Analysis           0.07 seconds
* -----------------------------------------
* Total                        0.09 seconds


* End of T-Spice output file
